DispositionScore,OrbitalPeriod[days,OrbitalPeriodUpperUnc.[days,OrbitalPeriodLowerUnc.[days,TransitEpoch[BKJD,TransitEpochUpperUnc.[BKJD,TransitEpochLowerUnc.[BKJD,ImpactParamete,ImpactParameterUpperUnc,ImpactParameterLowerUnc,TransitDuration[hrs,TransitDurationUpperUnc.[hrs,TransitDurationLowerUnc.[hrs,TransitDepth[ppm,TransitDepthUpperUnc.[ppm,TransitDepthLowerUnc.[ppm,PlanetaryRadius[Earthradii,PlanetaryRadiusUpperUnc.[Earthradii,PlanetaryRadiusLowerUnc.[Earthradii,EquilibriumTemperature[K,InsolationFlux[Earthflux,InsolationFluxUpperUnc.[Earthflux,InsolationFluxLowerUnc.[Earthflux,TransitSignal-to-Nois,TCEPlanetNumbe,StellarEffectiveTemperature[K,StellarEffectiveTemperatureUpperUnc.[K,StellarEffectiveTemperatureLowerUnc.[K,StellarSurfaceGravity[log10(cm/s**2),StellarSurfaceGravityUpperUnc.[log10(cm/s**2),StellarSurfaceGravityLowerUnc.[log10(cm/s**2),StellarRadius[Solarradii,StellarRadiusUpperUnc.[Solarradii,StellarRadiusLowerUnc.[Solarradii,RA[decimaldegrees,Dec[decimaldegrees,Kepler-band[mag]
1.0,9.48803557,2.78e-05,-2.78e-05,170.53875,0.00216,-0.00216,0.146,0.318,-0.146,2.9575,0.0819,-0.0819,616.0,19.5,-19.5,2.26,0.26,-0.15,793.0,93.59,29.45,-16.65,35.8,1.0,5455.0,81.0,-81.0,4.467,0.064,-0.096,0.927,0.105,-0.061,291.93422999999996,48.141651,15.347000000000001
0.9690000000000001,54.4183827,0.000248,-0.000248,162.51384,0.00352,-0.00352,0.586,0.059000000000000004,-0.44299999999999995,4.507,0.11599999999999999,-0.11599999999999999,875.0,35.5,-35.5,2.83,0.32,-0.19,443.0,9.11,2.87,-1.62,25.8,2.0,5455.0,81.0,-81.0,4.467,0.064,-0.096,0.927,0.105,-0.061,291.93422999999996,48.141651,15.347000000000001
0.0,19.89913995,1.49e-05,-1.49e-05,175.850252,0.0005809999999999999,-0.0005809999999999999,0.9690000000000001,5.126,-0.077,1.7822,0.0341,-0.0341,10800.0,171.0,-171.0,14.6,3.92,-1.31,638.0,39.3,31.04,-10.49,76.3,1.0,5853.0,158.0,-176.0,4.544,0.044000000000000004,-0.17600000000000002,0.868,0.233,-0.078,297.00482,48.134128999999994,15.436
0.0,1.7369524530000002,2.63e-07,-2.63e-07,170.30756499999998,0.00011499999999999999,-0.00011499999999999999,1.276,0.115,-0.092,2.4064099999999997,0.005370000000000001,-0.005370000000000001,8080.0,12.8,-12.8,33.46,8.5,-2.83,1395.0,891.96,668.95,-230.35,505.6,1.0,5805.0,157.0,-174.0,4.564,0.053,-0.168,0.7909999999999999,0.201,-0.067,285.53461,48.28521,15.597000000000001
1.0,2.525591777,3.76e-06,-3.76e-06,171.59555,0.0011300000000000001,-0.0011300000000000001,0.701,0.235,-0.478,1.6545,0.042,-0.042,603.0,16.9,-16.9,2.75,0.88,-0.35,1406.0,926.16,874.33,-314.24,40.9,1.0,6031.0,169.0,-211.0,4.438,0.07,-0.21,1.046,0.33399999999999996,-0.133,288.75487999999996,48.2262,15.509
1.0,11.09432054,2.0399999999999998e-05,-2.0399999999999998e-05,171.20116000000002,0.00141,-0.00141,0.5379999999999999,0.03,-0.428,4.5945,0.061,-0.061,1520.0,24.2,-24.2,3.9,1.27,-0.42,835.0,114.81,112.85,-36.7,66.5,1.0,6046.0,189.0,-232.0,4.486000000000001,0.054000000000000006,-0.22899999999999998,0.972,0.315,-0.105,296.28612999999996,48.22467,15.714
1.0,4.13443512,1.05e-05,-1.05e-05,172.97937,0.0019,-0.0019,0.762,0.139,-0.532,3.1402,0.0673,-0.0673,686.0,18.7,-18.7,2.77,0.9,-0.3,1160.0,427.65,420.33,-136.7,40.2,2.0,6046.0,189.0,-232.0,4.486000000000001,0.054000000000000006,-0.22899999999999998,0.972,0.315,-0.105,296.28612999999996,48.22467,15.714
0.992,2.56658897,1.7800000000000002e-05,-1.7800000000000002e-05,179.55437,0.00461,-0.00461,0.755,0.212,-0.523,2.4290000000000003,0.165,-0.165,227.0,16.8,-16.8,1.59,0.52,-0.17,1360.0,807.74,793.91,-258.2,15.0,3.0,6046.0,189.0,-232.0,4.486000000000001,0.054000000000000006,-0.22899999999999998,0.972,0.315,-0.105,296.28612999999996,48.22467,15.714
0.0,7.36178958,2.13e-05,-2.13e-05,132.25053,0.00253,-0.00253,1.169,7.132999999999999,-0.044000000000000004,5.022,0.136,-0.136,234.0,5.8,-5.8,39.21,6.45,-9.67,1342.0,767.22,349.28,-365.49,47.7,1.0,6227.0,111.0,-124.0,3.986,0.182,-0.098,1.9580000000000002,0.322,-0.483,298.86435,42.151569,12.66
1.0,16.06864674,1.09e-05,-1.09e-05,173.621937,0.000517,-0.000517,0.052000000000000005,0.262,-0.052000000000000005,3.5347,0.0241,-0.0241,4910.0,33.3,-33.3,5.76,0.22,-0.49,600.0,30.75,4.46,-6.66,161.9,1.0,5031.0,75.0,-83.0,4.485,0.083,-0.027999999999999997,0.848,0.033,-0.07200000000000001,286.99948,48.37579,15.841
